,contig,eveSites,eveTEoverlap,length,piEVEReads,piEVEoverlap,piReads,piSites,teSites,teProp,eveTEProp,pi/eveProp,eve/piProp,piReads/EVEProp
2353,002353F,0,0,54715,0,0,0,0,31520,0.5760760303390295,,,,
1934,001934F,0,0,5279,0,0,0,0,2512,0.4758476984277325,,,,
200,000200F,0,0,2674842,0,0,2584,555,1433140,0.5357849173895131,,,0.0,0.0
2417,002417F,0,0,297122,0,0,74,24,177737,0.5981953540969702,,,0.0,0.0
837,000837F,0,0,166349,0,0,16,5,89490,0.5379653619799337,,,0.0,0.0
133,000133F,0,0,3056203,0,0,2942,620,1694762,0.5545318815536795,,,0.0,0.0
2132,002132F,0,0,28589,0,0,28,6,19136,0.66934835076428,,,0.0,0.0
1980,001980F,0,0,482002,0,0,165,60,282591,0.5862859490209584,,,0.0,0.0
2752,002752F,0,0,131597,0,0,59,33,67688,0.514358230050837,,,0.0,0.0
2829,002829F,0,0,153456,0,0,143,84,72580,0.4729694505265353,,,0.0,0.0
3704,003704F,0,0,6304,0,0,1,1,6265,0.9938134517766497,,,0.0,0.0
2643,002643F,0,0,6066,0,0,0,0,3604,0.5941312232113419,,,,
1625,001625F,0,0,746595,0,0,2658,241,413625,0.554015229140297,,,0.0,0.0
2525,002525F,0,0,26689,0,0,0,0,12382,0.46393645322042787,,,,
3096,003096F,0,0,89983,0,0,0,0,36282,0.4032094951268573,,,,
2803,002803F,0,0,14875,0,0,0,0,9212,0.6192941176470588,,,,
1685,001685F,0,0,369859,0,0,200,110,180227,0.487285695359583,,,0.0,0.0
616,000616F,0,0,1583373,0,0,402,130,862745,0.5448779283213747,,,0.0,0.0
3073,003073F,0,0,52469,0,0,0,0,171,0.0032590672587623167,,,,
1,000001F,0,0,38418,0,0,15,6,20488,0.5332916861887657,,,0.0,0.0
3181,003181F,0,0,70176,0,0,1,1,38550,0.5493331053351573,,,0.0,0.0
1006,001006F,0,0,663907,0,0,89,41,356256,0.5366052775464033,,,0.0,0.0
1298,001298F,0,0,904966,0,0,145,65,481457,0.5320166724495727,,,0.0,0.0
1580,001580F,0,0,318255,0,0,54,17,151284,0.47535466842626195,,,0.0,0.0
2716,002716F,0,0,16370,0,0,1,1,13890,0.8485033598045205,,,0.0,0.0
3148,003148F,0,0,79153,0,0,45,2,41095,0.5191843644587065,,,0.0,0.0
669,000669F,0,0,1514342,0,0,950,164,805564,0.5319564536940796,,,0.0,0.0
803,000803F,0,0,1376395,0,0,1475,479,706927,0.513607648967048,,,0.0,0.0
3169,003169F,0,0,71531,0,0,0,0,35258,0.4929051739805119,,,,
98,000098F,0,0,3173706,0,0,7647,695,1753496,0.5525073841118239,,,0.0,0.0
2551,002551F,0,0,31684,0,0,0,0,10132,0.3197828557000379,,,,
1949,001949F,0,0,11600,0,0,7,7,9385,0.809051724137931,,,0.0,0.0
618,000618F,0,0,25883,0,0,3,2,12351,0.47718579762778657,,,0.0,0.0
1100,001100F,1005,59,1065339,0,0,491,129,552975,0.5190601301557533,0.05870646766169154,0.0,0.0,0.0
2411,002411F,0,0,304163,0,0,107,78,181970,0.5982647462051597,,,0.0,0.0
3604,003604F,0,0,18259,0,0,4,1,13825,0.7571608521824853,,,0.0,0.0
3647,003647F,0,0,15555,0,0,0,0,4453,0.28627450980392155,,,,
3325,003325F,0,0,32595,0,0,3,2,14401,0.44181622948304955,,,0.0,0.0
1453,001453F,0,0,793217,0,0,415,120,486589,0.613437432631928,,,0.0,0.0
3147,003147F,0,0,33041,0,0,0,0,12224,0.36996458944947186,,,,
638,000638F,0,0,1581196,0,0,561,234,913721,0.5778670069997648,,,0.0,0.0
3375,003375F,0,0,36842,0,0,0,0,20026,0.5435644101840291,,,,
2775,002775F,0,0,169937,0,0,44,14,77664,0.45701642373350126,,,0.0,0.0
270,000270F,0,0,536972,0,0,608,54,272944,0.508302108862287,,,0.0,0.0
3305,003305F,0,0,46172,0,0,4,3,31610,0.6846140518062895,,,0.0,0.0
1846,001846F,0,0,552842,0,0,182,66,318669,0.5764196642078568,,,0.0,0.0
2968,002968F,0,0,80581,0,0,13,8,38709,0.4803737853836512,,,0.0,0.0
1471,001471F,0,0,445389,0,0,52,27,235317,0.5283403945764265,,,0.0,0.0
2748,002748F,0,0,179016,0,0,20,12,88714,0.49556464226661306,,,0.0,0.0
2801,002801F,0,0,160763,0,0,30,16,68536,0.42631700080242346,,,0.0,0.0
2116,002116F,0,0,418427,0,0,1854,140,205250,0.49052761891560537,,,0.0,0.0
2747,002747F,0,0,9063,0,0,9,1,5248,0.5790577071609843,,,0.0,0.0
86,000086F,0,0,40890,0,0,0,0,24566,0.6007825874296894,,,,
1863,001863F,0,0,4581,0,0,22,14,1203,0.26260641781270466,,,0.0,0.0
875,000875F,0,0,1264267,0,0,616,219,649256,0.5135434208122177,,,0.0,0.0
