,contig,eveSites,eveTEoverlap,length,teSites,teProp,eveTEProp
3114,003114F,0,0,85057,42023,0.49405692653162,
860,000860F,0,0,108422,59861,0.5521111951448968,
2863,002863F,0,0,144630,69477,0.4803775150383738,
877,000877F,0,0,557798,294792,0.528492393303669,
1683,001683F,0,0,641687,362617,0.5650994955484527,
2234,002234F,0,0,361744,209386,0.5788236985271352,
1062,001062F,0,0,1117273,570017,0.510185961712133,
2718,002718F,0,0,182926,87115,0.4762308255797426,
3258,003258F,0,0,53787,28446,0.5288638518601149,
1319,001319F,0,0,26056,14636,0.5617132330365366,
3371,003371F,0,0,37038,17030,0.45979804525082346,
3070,003070F,0,0,27103,20783,0.7668154816809947,
2115,002115F,0,0,419973,202756,0.48278341702919,
181,000181F,0,0,49340,21606,0.4379002837454398,
3737,3737,0,0,27519,12494,0.4540135906101239,
1800,001800F,0,0,574518,313303,0.545331913012299,
1971,001971F,0,0,198553,113933,0.5738165628320901,
95,000095F,0,0,3219054,1802164,0.5598427364064101,
1199,001199F,0,0,76835,38668,0.5032602329667469,
788,000788F,0,0,997697,560603,0.561897048903625,
534,000534F,0,0,1827369,939814,0.5142989730043577,
1371,001371F,0,0,15478,6379,0.4121333505620881,
2404,002404F,0,0,299074,157052,0.5251275604031109,
2763,002763F,0,0,175502,101297,0.5771843055919591,
1747,001747F,0,0,20930,11919,0.5694696607740086,
3263,003263F,0,0,52501,25045,0.47703853259937906,
1042,001042F,0,0,133779,83746,0.6260025863551081,
2883,002883F,0,0,2046,1205,0.5889540566959922,
3553,003553F,0,0,25967,14249,0.5487349327993222,
1879,001879F,0,0,266205,123279,0.46309798839240435,
3619,003619F,0,0,20236,8942,0.4418857481715754,
1708,001708F,0,0,613228,321038,0.5235214308544294,
2556,002556F,0,0,30985,10157,0.32780377602065514,
2073,002073F,0,0,437720,265215,0.605901032623595,
2575,002575F,0,0,236976,108687,0.458641381405712,
712,000712F,0,0,378027,211778,0.5602192435990022,
2760,002760F,0,0,33035,13638,0.4128348721053428,
2820,002820F,0,0,154799,63559,0.41059050769061817,
3462,003462F,0,0,30633,15285,0.4989716971893057,
1364,001364F,0,0,21908,13464,0.6145700200839875,
2867,002867F,0,0,80861,36843,0.4556337418533038,
1571,001571F,0,0,604060,336519,0.5570953216567891,
1863,001863F,0,0,4581,1198,0.26151495306701594,
768,000768F,0,0,517126,270421,0.5229305817150945,
3052,003052F,0,0,26787,11363,0.42419830514801954,
2921,002921F,0,0,132756,64910,0.48894211937690196,
1760,001760F,0,0,25475,16201,0.6359568204121688,
639,000639F,0,0,13360,7330,0.5486526946107785,
3011,003011F,0,0,107217,69472,0.6479569471259222,
2451,002451F,0,0,277330,150466,0.5425521941369488,
187,000187F,0,0,22858,12397,0.5423484119345524,
236,000236F,0,0,26231,15532,0.5921238229575693,
87,000087F,0,0,608660,311115,0.5111474386356916,
3242,003242F,0,0,56443,26769,0.4742660737381075,
965,000965F,0,0,651133,352485,0.5413410163514981,
1268,001268F,0,0,275314,184702,0.6708776161037943,
1441,001441F,0,0,35041,24057,0.6865386261807597,
1881,001881F,0,0,27889,14987,0.5373803291620353,
2502,002502F,0,0,259558,177301,0.6830881729709737,
2889,002889F,0,0,140311,74833,0.5333366592783174,
3592,003592F,0,0,22710,16150,0.7111404667547336,
3600,003600F,0,0,22033,15424,0.7000408478191803,
1183,001183F,0,0,981218,481641,0.4908603388849369,
3361,003361F,0,0,32736,13283,0.4057612414467253,
1153,001153F,0,0,1022117,569240,0.5569225440923103,
1139,001139F,0,0,25763,18481,0.717346582307961,
2246,002246F,0,0,359235,204313,0.5687446935849791,
1777,001777F,0,0,577818,296592,0.5132965743538623,
2590,002590F,0,0,68205,41480,0.608166556704054,
2054,002054F,0,0,27367,13914,0.5084225527094676,
3535,003535F,0,0,26820,14225,0.5303877703206562,
143,000143F,0,0,2966877,1696621,0.5718541752826288,
2313,002313F,0,0,3724,343,0.09210526315789473,
2753,002753F,0,0,180420,39776,0.22046336326349628,
527,000527F,0,0,26128,9475,0.36263778322106555,
1816,001816F,0,0,29006,15060,0.5192029235330621,
2051,002051F,0,0,99593,50459,0.5066520739409396,
3580,003580F,0,0,24020,12941,0.538759367194005,
185,000185F,0,0,2378799,1252972,0.5267246202810746,
1366,001366F,0,0,166887,82868,0.49655155883921454,
1744,001744F,0,0,492847,300317,0.6093513808545046,
1296,001296F,0,0,17293,9745,0.5635228126987799,
2529,002529F,0,0,253541,136185,0.5371320614811805,
1419,001419F,0,0,95740,55264,0.5772299979110089,
1401,001401F,0,0,848358,417747,0.492418295106547,
2527,002527F,0,0,256949,136857,0.5326232053831694,
3476,003476F,0,0,29865,19753,0.6614096768792901,
2210,002210F,0,0,18283,15502,0.8478914838921402,
1768,001768F,0,0,139055,71375,0.5132861098126641,
1871,001871F,11319,2244,379819,213445,0.561965041243329,0.19825072886297376
1444,001444F,0,0,850404,481247,0.5659039703482109,
1561,001561F,0,0,13513,9530,0.7052467993783764,
2521,002521F,0,0,254841,139359,0.5468468574522938,
1267,001267F,0,0,913770,502246,0.5496415947120172,
2498,002498F,0,0,25455,20424,0.8023571007660577,
3638,003638F,0,0,16660,165,0.009903961584633853,
1251,001251F,0,0,19958,11922,0.5973544443330995,
3389,003389F,0,0,35376,20876,0.5901175938489371,
2134,002134F,0,0,24681,11478,0.46505409019083505,
529,000529F,0,0,675599,363095,0.5374415888715052,
1070,001070F,0,0,1103354,555408,0.5033815076575605,
450,000450F,0,0,33045,22984,0.6955363897715237,
536,000536F,0,0,63085,37011,0.5866846318459221,
515,000515F,0,0,23238,14679,0.6316808675445391,
2292,002292F,0,0,27404,11851,0.4324551160414538,
1978,001978F,0,0,496057,261990,0.5281449510842504,
1212,001212F,0,0,31058,17728,0.5708030137162727,
3597,003597F,0,0,22496,11992,0.533072546230441,
1384,001384F,0,0,528043,290929,0.5509570243332456,
2603,002603F,0,0,226826,142624,0.6287815329812279,
3709,003709F,0,0,4663,3436,0.73686467939095,
64,000064F,0,0,24889,13833,0.555787697376351,
2,000002F,1871,933,5379537,3054494,0.5677986785851645,0.498663816141101
213,000213F,0,0,37014,18919,0.5111309234343762,
1284,001284F,0,0,527782,290070,0.5496019189741219,
1688,001688F,0,0,26712,16868,0.631476489967056,
382,000382F,0,0,2052464,1071624,0.5221158568432869,
668,000668F,0,0,10455,5753,0.5502630320420852,
699,000699F,0,0,65457,33939,0.5184930565103809,
2153,002153F,0,0,400340,216677,0.5412324524154468,
1611,001611F,0,0,672319,313858,0.4668289904048525,
3750,3753,0,0,56976,11063,0.19416947486661051,
1206,001206F,0,0,128475,56141,0.4369799571901148,
1538,001538F,0,0,741922,402294,0.5422322023069811,
228,000228F,0,0,57968,38428,0.6629174717085289,
720,000720F,0,0,1433374,746073,0.520501278800927,
2767,002767F,0,0,32007,15673,0.48967413378323493,
3440,003440F,0,0,5670,4022,0.709347442680776,
2654,002654F,0,0,210281,125810,0.5982946628558928,
1521,001521F,0,0,32235,14033,0.43533426399875913,
1498,001498F,0,0,761049,444080,0.5835103915779405,
1532,001532F,0,0,752241,413267,0.5493811158923803,
3057,003057F,0,0,58545,35614,0.6083183875651208,
3582,003582F,0,0,13880,5084,0.3662824207492795,
1616,001616F,0,0,28717,18578,0.6469338719225546,
3570,003570F,0,0,24678,13282,0.538212172785477,
1622,001622F,0,0,674086,346868,0.5145752915800061,
1045,001045F,0,0,233602,140889,0.6031155555175042,
3439,003439F,0,0,32291,15759,0.4880307206342325,
1338,001338F,0,0,29415,14174,0.48186299507054225,
400,000400F,0,0,2007215,1005095,0.5007410765662871,
1593,001593F,0,0,432021,256200,0.5930267278673953,
2553,002553F,0,0,243994,137905,0.5651983245489643,
342,000342F,0,0,699748,338189,0.48330113126439805,
1641,001641F,0,0,666099,392453,0.5891811877813958,
2944,002944F,0,0,28817,17964,0.6233820314397751,
2132,002132F,0,0,28589,19102,0.6681590821644688,
291,000291F,0,0,113683,55223,0.4857630428472155,
1258,001258F,0,0,921477,478502,0.5192772038802922,
792,000792F,0,0,1445564,777889,0.5381214529415509,
74,000074F,1245,912,3308092,1854313,0.5605385219032603,0.7325301204819277
1106,001106F,1250,665,1051253,564521,0.536998229731568,0.532
1703,001703F,0,0,2627,2626,0.9996193376475067,
2217,002217F,0,0,355546,186132,0.5235103193398323,
3320,003320F,0,0,44089,16946,0.3843589103858105,
253,000253F,0,0,1069660,551140,0.515247835760896,
1773,001773F,0,0,540404,289996,0.5366281522712637,
2481,002481F,0,0,54625,24159,0.4422700228832952,
307,000307F,0,0,27163,17815,0.6558553915252365,
1180,001180F,0,0,988855,533748,0.5397636660582188,
3583,003583F,0,0,16142,14686,0.9098005203816132,
79,000079F,0,0,3310812,1703251,0.5144511376665302,
822,000822F,0,0,1329835,758286,0.5702105900356059,
3339,003339F,0,0,41210,16616,0.40320310604222276,
744,000744F,0,0,155207,78333,0.5047001746055269,
1748,001748F,0,0,32029,17472,0.545505635517812,
482,000482F,0,0,27687,16643,0.6011124354390147,
3283,003283F,0,0,48218,28612,0.5933883611929155,
1125,001125F,0,0,36443,24021,0.6591389292868315,
655,000655F,0,0,27596,15006,0.5437744600666763,
1311,001311F,0,0,896165,448766,0.5007626943698984,
1385,001385F,0,0,847365,466333,0.5503330914068908,
